package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/All_in1.xlsx,All_in1,GRIDID,,numeric,499,1 | 2 | 3 | 4 | 5,1,499,xlsx,medium,Headers inferred from first row. Sampled first 500 non-empty rows from worksheet.
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/All_in1.xlsx,All_in1,TYPE1_60,,boolean_or_indicator,499,0,,,xlsx,medium,Headers inferred from first row. Sampled first 500 non-empty rows from worksheet.
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/All_in1.xlsx,All_in1,TYPE2_60,,numeric,499,0 | 43.5333 | 31.4979 | 75.0312,0,75.0312,xlsx,medium,Headers inferred from first row. Sampled first 500 non-empty rows from worksheet.
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/All_in1.xlsx,All_in1,TYPE3_60,,boolean_or_indicator,499,0,,,xlsx,medium,Headers inferred from first row. Sampled first 500 non-empty rows from worksheet.
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/All_in1.xlsx,All_in1,TYPE1_70,,boolean_or_indicator,499,0,,,xlsx,medium,Headers inferred from first row. Sampled first 500 non-empty rows from worksheet.
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/All_in1.xlsx,All_in1,TYPE2_70,,numeric,499,0 | 43.5333 | 31.4979 | 75.0312,0,75.0312,xlsx,medium,Headers inferred from first row. Sampled first 500 non-empty rows from worksheet.
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/All_in1.xlsx,All_in1,TYPE3_70,,boolean_or_indicator,499,0,,,xlsx,medium,Headers inferred from first row. Sampled first 500 non-empty rows from worksheet.
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/All_in1.xlsx,All_in1,TYPE1_80,,boolean_or_indicator,499,0,,,xlsx,medium,Headers inferred from first row. Sampled first 500 non-empty rows from worksheet.
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/All_in1.xlsx,All_in1,TYPE2_80,,numeric,499,0 | 43.5333 | 31.4979 | 75.0312,0,75.0312,xlsx,medium,Headers inferred from first row. Sampled first 500 non-empty rows from worksheet.
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/All_in1.xlsx,All_in1,TYPE3_80,,boolean_or_indicator,499,0,,,xlsx,medium,Headers inferred from first row. Sampled first 500 non-empty rows from worksheet.
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/All_in1.xlsx,All_in1,TYPE1_90,,boolean_or_indicator,499,0,,,xlsx,medium,Headers inferred from first row. Sampled first 500 non-empty rows from worksheet.
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/All_in1.xlsx,All_in1,TYPE2_90,,numeric,499,0 | 43.5333 | 31.4979 | 75.0312,0,75.0312,xlsx,medium,Headers inferred from first row. Sampled first 500 non-empty rows from worksheet.
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/All_in1.xlsx,All_in1,TYPE3_90,,boolean_or_indicator,499,0,,,xlsx,medium,Headers inferred from first row. Sampled first 500 non-empty rows from worksheet.
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/All_in1.xlsx,All_in1,TYPE1_00,,boolean_or_indicator,499,0,,,xlsx,medium,Headers inferred from first row. Sampled first 500 non-empty rows from worksheet.
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/All_in1.xlsx,All_in1,TYPE2_00,,numeric,499,0 | 43.5333 | 31.4979 | 75.0312,0,75.0312,xlsx,medium,Headers inferred from first row. Sampled first 500 non-empty rows from worksheet.
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/All_in1.xlsx,All_in1,TYPE3_00,,boolean_or_indicator,499,0,,,xlsx,medium,Headers inferred from first row. Sampled first 500 non-empty rows from worksheet.
paper-2015-07,Markov Chain Model Of Land Use Change,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2015-07-markov-chain-model-of-land-use-change,data/rania_iacono_grid_land_use_1960_2000/Grid/GRIDsmall.dbf,dbf,GRIDID,,numeric,,,,,dbf,medium,Field definition read from DBF header; width=9; decimals=0.
